EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0049991608, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0050241947, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0055928230, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0052859783, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0043368340, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0043349266, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0047578812, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0048561096, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0043179989, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0043170452, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0047130585, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0048489571, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0042591095, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0042591095, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0050120354, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0048549175, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0043258667, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0043258667, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0047569275, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0049228668, 
1,,4, 10000000,,100, SR, lab004-074, 1, 1, 3, 4, 0.0042870045, 
1,,4, 10000000,,100, RS, lab004-074, 3, 3, 1, 4, 0.0042870045, 
1,,4, 10000000,,100, RS, lab004-074, 2, 2, 0, 2, 0.0048289299, 
1,,4, 10000000,,100, SR, lab004-074, 0, 0, 2, 2, 0.0046710968, 
